Derivatives on Individual Securities,Symbol    
ADITYA BIRLA NUVO LIMITED           ,ABIRLANUVO
ADANI ENTERPRISES LIMITED           ,ADANIENT
AJANTA PHARMA LIMITED               ,AJANTPHARM
AMARA RAJA BATTERIES LTD.           ,AMARAJABAT
APOLLO HOSPITALS ENTER. L           ,APOLLOHOSP
AUROBINDO PHARMA LTD                ,AUROPHARMA
AXIS BANK LIMITED                   ,AXISBANK
BAJAJ AUTO LIMITED                  ,BAJAJ-AUTO
BAJAJ FINANCE LIMITED               ,BAJFINANCE
BANK OF BARODA                      ,BANKBARODA
BANK OF INDIA                       ,BANKINDIA 
ALLAHABAD BANK                      ,ALBK      
BATA INDIA LTD                      ,BATAINDIA 
ASIAN PAINTS LIMITED                ,ASIANPAINT
BHARAT ELECTRONICS LTD              ,BEL       
BEML LIMITED                        ,BEML      
BHARAT FORGE LTD                    ,BHARATFORG
BHARTI AIRTEL LIMITED               ,BHARTIARTL
BHEL                                ,BHEL      
BOSCH LIMITED                       ,BOSCHLTD  
BHARAT FIN INCLUSION LTD            ,BHARATFIN 
BIOCON LIMITED.                     ,BIOCON    
CENTURY TEXTILES LTD                ,CENTURYTEX
CESC LTD                            ,CESC      
CIPLA LTD                           ,CIPLA     
COAL INDIA LTD                      ,COALINDIA 
CONTAINER CORP OF IND LTD           ,CONCOR    
CROMPTON GREAVES LTD                ,CROMPGREAV
BHARAT PETROLEUM CORP  LT           ,BPCL      
DEWAN HOUSING FIN CORP LT           ,DHFL      
EICHER MOTORS LTD                   ,EICHERMOT 
ADANI PORT & SEZ LTD                ,ADANIPORTS
BRITANNIA INDUSTRIES LTD            ,BRITANNIA 
APOLLO TYRES LTD                    ,APOLLOTYRE
ASHOK LEYLAND LTD                   ,ASHOKLEY  
CADILA HEALTHCARE LIMITED           ,CADILAHC  
CAIRN INDIA LIMITED                 ,CAIRN     
CANARA BANK                         ,CANBK     
ENGINEERS INDIA LTD                 ,ENGINERSIN
CEAT LIMITED                        ,CEATLTD   
GAIL (INDIA) LTD                    ,GAIL      
GODREJ CONSUMER PRODUCTS            ,GODREJCP  
GRANULES INDIA LIMITED              ,GRANULES  
HAVELLS INDIA LIMITED               ,HAVELLS   
HCL TECHNOLOGIES LTD                ,HCLTECH   
HOUSING DEV & INFRA LTD             ,HDIL      
HINDUSTAN PETROLEUM CORP            ,HINDPETRO 
HINDUSTAN UNILEVER LTD.             ,HINDUNILVR
DABUR INDIA LTD                     ,DABUR     
INDIABULLS REAL EST. LTD            ,IBREALEST 
DISH TV INDIA LTD.                  ,DISHTV    
IDBI BANK LIMITED                   ,IDBI      
IDFC LIMITED                        ,IDFC      
INDRAPRASTHA GAS LTD                ,IGL       
INDUSIND BANK LIMITED               ,INDUSINDBK
BHARTI INFRATEL LTD.                ,INFRATEL  
INFOSYS LIMITED                     ,INFY      
IRB INFRA DEV LTD.                  ,IRB       
JET AIRWAYS (INDIA) LTD.            ,JETAIRWAYS
JINDAL STEEL & POWER LTD            ,JINDALSTEL
JSW ENERGY LIMITED                  ,JSWENERGY 
JSW STEEL LIMITED                   ,JSWSTEEL  
JUBILANT FOODWORKS LTD              ,JUBLFOOD  
CASTROL INDIA LIMITED               ,CASTROLIND
JUSTDIAL LTD.                       ,JUSTDIAL  
LIC HOUSING FINANCE LTD             ,LICHSGFIN 
MARUTI SUZUKI INDIA LTD.            ,MARUTI    
MRF LTD                             ,MRF       
NCC LIMITED                         ,NCC       
NMDC LTD.                           ,NMDC      
ORACLE FIN SERV SOFT LTD.           ,OFSS      
ORIENTAL BANK OF COMMERCE           ,ORIENTBANK
PAGE INDUSTRIES LTD                 ,PAGEIND   
PC JEWELLER LTD                     ,PCJEWELLER
POWER FIN CORP LTD.                 ,PFC       
DIVI'S LABORATORIES LTD             ,DIVISLAB  
PUNJAB NATIONAL BANK                ,PNB       
POWER GRID CORP. LTD.               ,POWERGRID 
RELIANCE COMMUNICATIONS L           ,RCOM      
RELIANCE CAPITAL LTD                ,RELCAPITAL
RELIANCE INDUSTRIES LTD             ,RELIANCE  
RELIANCE INFRASTRUCTU LTD           ,RELINFRA  
STATE BANK OF INDIA                 ,SBIN      
SIEMENS LTD                         ,SIEMENS   
DR. REDDY'S LABORATORIES            ,DRREDDY   
SRF LTD                             ,SRF       
SYNDICATE BANK                      ,SYNDIBANK 
TATA CHEMICALS LTD                  ,TATACHEM  
EXIDE INDUSTRIES LTD                ,EXIDEIND  
FEDERAL BANK LTD                    ,FEDERALBNK
TATA COMMUNICATIONS LTD             ,TATACOMM  
TATA MOTORS LIMITED                 ,TATAMOTORS
HDFC LTD                            ,HDFC      
TATA MOTORS DVR 'A' ORD             ,TATAMTRDVR
TATA CONSULTANCY SERV LT            ,TCS       
HDFC BANK LTD                       ,HDFCBANK  
TITAN COMPANY LIMITED               ,TITAN     
TVS MOTOR COMPANY  LTD              ,TVSMOTOR  
UNITED BREWERIES LTD                ,UBL       
VOLTAS LTD                          ,VOLTAS    
WIPRO LTD                           ,WIPRO     
HINDUSTAN ZINC LIMITED              ,HINDZINC  
WOCKHARDT LIMITED                   ,WOCKPHARMA
YES BANK LIMITED                    ,YESBANK   
INDO COUNT INDUSTRIES LTD           ,ICIL      
GODREJ INDUSTRIES LTD               ,GODREJIND 
GRASIM INDUSTRIES LTD               ,GRASIM    
HEXAWARE TECHNOLOGIES LTD           ,HEXAWARE  
INDIAN OIL CORP LTD                 ,IOC       
INDIABULLS HSG FIN LTD              ,IBULHSGFIN
ICICI BANK LTD.                     ,ICICIBANK 
COLGATE PALMOLIVE LTD.              ,COLPAL    
THE INDIA CEMENTS LIMITED           ,INDIACEM  
GLENMARK PHARMACEUTICALS            ,GLENMARK  
HERO MOTOCORP LIMITED               ,HEROMOTOCO
JAIN IRRIGATION SYSTEMS             ,JISLJALEQS
KOTAK MAHINDRA BANK LTD             ,KOTAKBANK 
KPIT TECHNOLOGIES LTD               ,KPIT      
HINDALCO  INDUSTRIES  LTD           ,HINDALCO  
KARNATAKA BANK LIMITED              ,KTKBANK   
L&T FINANCE HOLDINGS LTD            ,L&TFH     
LARSEN & TOUBRO LTD.                ,LT        
LUPIN LIMITED                       ,LUPIN     
M&M FIN. SERVICES LTD               ,M&MFIN    
UNITED SPIRITS LIMITED              ,MCDOWELL-N
MCLEOD RUSSEL INDIA LTD.            ,MCLEODRUSS
NIIT TECHNOLOGIES LTD               ,NIITTECH  
MOTHERSON SUMI SYSTEMS LT           ,MOTHERSUMI
NTPC LTD                            ,NTPC      
ITC LTD                             ,ITC       
PETRONET LNG LIMITED                ,PETRONET  
PIDILITE INDUSTRIES LTD             ,PIDILITIND
OIL AND NATURAL GAS CORP.           ,ONGC      
RURAL ELEC CORP. LTD.               ,RECLTD    
SHRIRAM TRANSPORT FIN CO.           ,SRTRANSFIN
STRIDES SHASUN LIMITED              ,STAR      
TATA GLOBAL BEVERAGES LTD           ,TATAGLOBAL
TATA POWER CO LTD                   ,TATAPOWER 
TATA STEEL LIMITED                  ,TATASTEEL 
UNION BANK OF INDIA                 ,UNIONBANK 
VEDANTA LIMITED                     ,VEDL      
ZEE ENTERTAINMENT ENT LTD           ,ZEEL      
TATA ELXSI LIMITED                  ,TATAELXSI 
ARVIND LIMITED                      ,ARVIND    
TECH MAHINDRA LIMITED               ,TECHM     
